,id,gps2id,start,duraion
696,186,1496,0,6
697,186,1547,9,5
698,186,1496,16,4
699,186,1497,22,3
700,187,1344,9,3
701,187,1394,14,4
702,187,1345,20,3
703,188,1443,0,7
704,188,1494,10,4
705,188,1443,17,6
706,189,1446,2,11
707,189,1496,15,3
708,189,1446,19,3
709,189,1447,22,3
710,190,1496,1,7
711,190,1545,11,3
712,190,1495,17,5
713,190,1545,23,2
714,191,909,10,3
715,191,855,16,2
716,191,755,21,3
717,192,1446,0,3
718,192,1396,6,8
719,192,1446,17,5
720,192,1396,23,2
721,193,1497,0,6
722,193,1496,9,5
723,193,1497,17,4
724,193,1496,22,2
725,194,1497,0,10
726,194,1496,13,4
727,194,1546,20,2
728,194,1445,23,3
729,195,1498,0,9
730,195,1496,11,4
731,195,1548,18,5
732,196,905,1,4
733,196,855,8,13
734,196,904,22,2
735,197,1446,0,8
736,197,1544,10,4
737,197,1447,16,5
738,197,1495,22,2
739,198,1497,0,14
740,198,1497,15,2
741,198,1496,20,3
742,199,1497,0,9
743,199,1496,12,4
744,199,1497,19,3
745,199,1546,23,4
746,200,1211,0,10
747,200,555,11,2
748,200,804,16,5
749,200,656,22,1
750,200,755,23,3
751,201,1497,0,14
752,201,1494,15,2
753,201,1495,20,2
754,201,1496,23,4
755,202,1495,2,2
756,202,1394,7,4
757,202,1497,14,9
758,203,1396,7,2
759,203,1446,12,3
760,203,1396,18,4
761,203,1494,23,3
762,204,804,1,6
763,204,1192,10,4
764,204,1495,16,5
765,204,1496,22,2
766,205,639,0,5
767,205,1626,8,2
768,205,1431,12,3
769,205,1374,18,3
770,205,180,22,3
771,206,1497,0,4
772,206,1495,7,7
773,206,1497,17,4
774,206,1495,22,1
775,207,1496,0,13
776,207,1544,14,2
777,207,1496,19,5
778,208,1496,0,10
779,208,1073,13,3
780,208,1496,19,5
781,209,1496,0,3
782,209,1497,6,8
783,209,1497,16,5
784,209,1547,22,3
785,210,1545,0,6
786,210,1497,9,5
787,210,1545,16,5
788,210,1495,22,2
789,211,1545,0,12
790,211,1546,14,2
791,211,1545,19,3
792,211,1546,23,3
793,212,1446,1,11
794,212,1447,13,3
795,212,1446,17,4
796,212,1465,21,2
797,212,1495,23,2
798,213,1396,0,12
799,213,1446,15,3
800,213,1495,19,4
801,214,1397,0,8
802,214,1496,11,4
803,214,1497,18,4
804,214,1496,23,4
805,215,1446,0,8
806,215,1494,11,4
807,215,1440,18,3
808,215,1496,22,1
809,216,1498,0,6
810,216,1496,8,5
811,216,1497,16,3
812,216,1496,22,2
813,217,1495,0,5
814,217,1519,8,7
815,217,1497,18,4
816,217,1496,23,5
817,218,804,0,2
818,218,805,3,8
819,218,953,14,4
820,218,804,20,3
821,219,806,7,8
822,219,524,16,3
823,219,1497,20,2
824,219,1547,23,4
825,220,854,0,2
826,220,904,5,5
827,220,557,13,4
828,220,1007,18,2
829,220,804,21,3
830,221,1446,0,15
831,221,1397,18,2
832,221,1446,21,2
833,222,1446,1,1
834,222,1545,5,8
835,222,1446,16,4
836,222,1496,21,2
837,223,1496,0,8
838,223,1497,11,4
839,223,1496,18,6
840,224,1496,0,6
841,224,1446,8,5
842,224,1496,15,4
843,224,1446,20,3
844,225,1496,0,2
845,225,1497,5,7
846,225,934,15,4
847,225,1496,20,3
848,226,1496,0,8
849,226,1497,11,4
850,226,1496,18,6
851,227,1446,2,5
852,227,1394,10,3
853,227,1446,16,9
854,228,1346,0,7
855,228,1345,10,4
856,228,1346,17,3
857,228,1347,20,2
858,228,885,23,3
859,229,1496,1,11
860,229,1548,15,3
861,229,1547,21,2
862,230,1496,0,8
863,230,1497,11,4
864,230,1394,18,4
865,230,1496,23,4
866,231,805,0,4
867,231,906,7,6
868,231,805,16,3
869,231,755,21,3
870,232,1577,10,6
871,232,1528,19,2
872,232,1007,22,1
873,233,1443,0,2
874,233,1395,5,9
875,233,1347,17,5
876,233,1495,23,4
877,234,1546,0,14
878,234,1547,17,2
879,234,1446,20,3
880,235,986,0,16
881,235,987,18,2
882,235,986,20,2
883,235,1489,23,5
884,236,1546,0,6
885,236,1496,9,5
886,236,1546,17,3
887,236,1497,21,2
888,237,1546,1,13
889,237,1496,17,2
890,237,1546,22,1
891,238,1363,0,1
892,238,1366,4,6
893,238,1362,11,3
894,238,805,16,5
895,238,705,22,1
896,239,1497,1,2
897,239,1496,6,7
898,239,1497,16,4
899,239,1496,22,1
900,240,1496,0,12
901,240,1497,15,3
902,240,1496,20,4
903,241,1496,0,5
904,241,804,8,5
905,241,805,15,5
906,241,804,21,2
907,242,1496,0,6
908,242,1497,9,5
909,242,1496,17,5
910,242,1495,23,4
911,243,638,1,7
912,243,1344,9,2
913,243,1345,12,3
914,243,1344,18,4
915,243,1394,23,4
916,244,1496,0,14
917,244,805,16,3
918,244,804,21,3
919,245,804,0,8
920,245,804,10,4
921,245,507,17,6
